,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
113599,2018025999,1.77238907307674,1.33295996187228,B,SL,0.0,1.0,16,0,Ball
113600,2018025999,1.80144119289508,1.84795369650033,B,SL,1.0,1.0,13,0,Ball
113601,2018025999,-0.119133477079532,2.08073246199319,F,SL,2.0,1.0,7,1,Foul
113602,2018025999,1.15175868141819,1.3394953197545,X,SL,2.0,2.0,16,1,Out
114517,2018029917,-0.6247005244721651,2.6773652510069503,C,CU,0.0,0.0,3,0,Ball
114518,2018029917,-0.640830175413186,3.1148927572547698,B,FF,0.0,1.0,0,0,Ball
114519,2018029917,0.5327297232600661,1.11049264275126,B,SL,1.0,1.0,15,0,Ball
114520,2018029917,0.10342178048842697,2.36181355014859,F,FF,2.0,1.0,4,1,Foul
114521,2018029917,0.28097338055074106,2.4790128447878104,F,SL,2.0,2.0,5,1,Foul
114522,2018029917,1.29199856717149,0.5124505982767821,W,SL,2.0,2.0,16,1,Strike
114551,2018029940,0.360318288775994,2.35839500067767,X,SL,0.0,0.0,5,1,Out
114573,2018029960,-0.5095546205997009,3.20987069418266,C,FF,0.0,0.0,0,0,Ball
114574,2018029960,-0.29533646718163503,2.66793970625026,X,SI,0.0,1.0,3,1,Out
117527,2018047092,-0.00361612584789411,3.52327234426808,F,FF,0.0,0.0,1,1,Foul
117528,2018047092,1.14242905820275,3.55029131200098,B,FF,0.0,1.0,13,0,Ball
117529,2018047092,-0.34700908900631605,2.98779695249682,F,FF,1.0,1.0,0,1,Foul
117530,2018047092,1.78233019430861,0.399188337006904,B,SL,1.0,2.0,16,0,Ball
117531,2018047092,0.89701615498016,2.97795880869192,F,FF,2.0,2.0,13,1,Foul
117532,2018047092,0.53311463564874,2.66860677108336,X,KC,2.0,2.0,5,1,Out
117561,2018047112,-0.0548123163601944,3.65635383235644,B,FF,0.0,0.0,1,0,Ball
117562,2018047112,0.734664534619866,0.764026410080702,S,KC,1.0,0.0,15,1,Strike
117563,2018047112,1.29807542225933,2.5856190606640097,B,FF,1.0,1.0,13,0,Ball
117564,2018047112,0.131305364395005,2.40001216984504,F,FF,2.0,1.0,4,1,Foul
117565,2018047112,0.16758611180526,2.4160158700516603,F,SL,2.0,2.0,4,1,Foul
117566,2018047112,0.5670492966216141,2.07989486894083,F,FF,2.0,2.0,8,1,Foul
117567,2018047112,-0.0305555474114965,3.61488729218734,S,FF,2.0,2.0,1,1,Strike
117840,2018048060,1.52205202808121,2.87557697103981,B,FF,0.0,0.0,13,0,Ball
117841,2018048060,0.6688931824442421,2.71384504505283,C,FF,1.0,0.0,5,0,Ball
117842,2018048060,0.9194094640429928,2.8568833321097302,T,FF,1.0,1.0,13,1,Strike
117843,2018048060,0.675859607251019,1.71375221422472,X,SL,1.0,2.0,8,1,Out
117863,2018048080,0.304868027732495,3.61668980170587,B,FF,0.0,0.0,2,0,Ball
117864,2018048080,0.463577442832687,2.5684583414627,F,FF,1.0,0.0,5,1,Foul
117865,2018048080,0.863415542988738,2.4878000638508,X,FF,1.0,1.0,13,1,Out
